Data;IPCA
jan/95;1,7
fev/95;1,02
mar/95;1,55
abr/95;2,43
mai/95;2,67
jun/95;2,26
jul/95;2,36
ago/95;0,99
set/95;0,99
out/95;1,41
nov/95;1,47
dez/95;1,56
jan/96;1,34
fev/96;1,03
mar/96;0,35
abr/96;1,26
mai/96;1,22
jun/96;1,19
jul/96;1,11
ago/96;0,44
set/96;0,15
out/96;0,3
nov/96;0,32
dez/96;0,47
jan/97;1,18
fev/97;0,5
mar/97;0,51
abr/97;0,88
mai/97;0,41
jun/97;0,54
jul/97;0,22
ago/97;-0,02
set/97;0,06
out/97;0,23
nov/97;0,17
dez/97;0,43
jan/98;0,71
fev/98;0,46
mar/98;0,34
abr/98;0,24
mai/98;0,5
jun/98;0,02
jul/98;-0,12
ago/98;-0,51
set/98;-0,22
out/98;0,02
nov/98;-0,12
dez/98;0,33
jan/99;0,7
fev/99;1,05
mar/99;1,1
abr/99;0,56
mai/99;0,3
jun/99;0,19
jul/99;1,09
ago/99;0,56
set/99;0,31
out/99;1,19
nov/99;0,95
dez/99;0,6
jan/00;0,62
fev/00;0,13
mar/00;0,22
abr/00;0,42
mai/00;0,01
jun/00;0,23
jul/00;1,61
ago/00;1,31
set/00;0,23
out/00;0,14
nov/00;0,32
dez/00;0,59
jan/01;0,57
fev/01;0,46
mar/01;0,38
abr/01;0,58
mai/01;0,41
jun/01;0,52
jul/01;1,33
ago/01;0,7
set/01;0,28
out/01;0,83
nov/01;0,71
dez/01;0,65
jan/02;0,52
fev/02;0,36
mar/02;0,6
abr/02;0,8
mai/02;0,21
jun/02;0,42
jul/02;1,19
ago/02;0,65
set/02;0,72
out/02;1,31
nov/02;3,02
dez/02;2,1
jan/03;2,25
fev/03;1,57
mar/03;1,23
abr/03;0,97
mai/03;0,61
jun/03;-0,15
jul/03;0,2
ago/03;0,34
set/03;0,78
out/03;0,29
nov/03;0,34
dez/03;0,52
jan/04;0,76
fev/04;0,61
mar/04;0,47
abr/04;0,37
mai/04;0,51
jun/04;0,71
jul/04;0,91
ago/04;0,69
set/04;0,33
out/04;0,44
nov/04;0,69
dez/04;0,86
jan/05;0,58
fev/05;0,59
mar/05;0,61
abr/05;0,87
mai/05;0,49
jun/05;-0,02
jul/05;0,25
ago/05;0,17
set/05;0,35
out/05;0,75
nov/05;0,55
dez/05;0,36
jan/06;0,59
fev/06;0,41
mar/06;0,43
abr/06;0,21
mai/06;0,1
jun/06;-0,21
jul/06;0,19
ago/06;0,05
set/06;0,21
out/06;0,33
nov/06;0,31
dez/06;0,48
jan/07;0,44
fev/07;0,44
mar/07;0,37
abr/07;0,25
mai/07;0,28
jun/07;0,28
jul/07;0,24
ago/07;0,47
set/07;0,18
out/07;0,3
nov/07;0,38
dez/07;0,74
jan/08;0,54
fev/08;0,49
mar/08;0,48
abr/08;0,55
mai/08;0,79
jun/08;0,74
jul/08;0,53
ago/08;0,28
set/08;0,26
out/08;0,45
nov/08;0,36
dez/08;0,28
jan/09;0,48
fev/09;0,55
mar/09;0,2
abr/09;0,48
mai/09;0,47
jun/09;0,36
jul/09;0,24
ago/09;0,15
set/09;0,24
out/09;0,28
nov/09;0,41
dez/09;0,37
jan/10;0,75
fev/10;0,78
mar/10;0,52
abr/10;0,57
mai/10;0,43
jun/10;0
jul/10;0,01
ago/10;0,04
set/10;0,45
out/10;0,75
nov/10;0,83
dez/10;0,63
jan/11;0,83
fev/11;0,8
mar/11;0,79
abr/11;0,77
mai/11;0,47
jun/11;0,15
jul/11;0,16
ago/11;0,37
set/11;0,53
out/11;0,43
nov/11;0,52
dez/11;0,5
jan/12;0,56
fev/12;0,45
mar/12;0,21
abr/12;0,64
mai/12;0,36
jun/12;0,08
jul/12;0,43
ago/12;0,41
set/12;0,57
out/12;0,59
nov/12;0,6
dez/12;0,79
jan/13;0,86
fev/13;0,6
mar/13;0,47
abr/13;0,55
mai/13;0,37
jun/13;0,26
jul/13;0,03
ago/13;0,24
set/13;0,35
out/13;0,57
nov/13;0,54
dez/13;0,92
jan/14;0,55
fev/14;0,69
mar/14;0,92
abr/14;0,67
mai/14;0,46
jun/14;0,4
jul/14;0,01
ago/14;0,25
set/14;0,57
out/14;0,42
nov/14;0,51
dez/14;0,78
jan/15;1,24
fev/15;1,22
mar/15;1,32
abr/15;0,71
mai/15;0,74
jun/15;0,79
jul/15;0,62
ago/15;0,22
set/15;0,54
out/15;0,82
nov/15;1,01
dez/15;0,96
jan/16;1,27
fev/16;0,9
mar/16;0,43
abr/16;0,61
mai/16;0,78
jun/16;0,35
jul/16;0,52
ago/16;0,44
set/16;0,08
out/16;0,26
nov/16;0,18
dez/16;0,3
jan/17;0,38
fev/17;0,33
mar/17;0,25
abr/17;0,14
mai/17;0,31
jun/17;-0,23
jul/17;0,24
