Data;desemprego;;
01/12/1984;12,4;;
01/01/1985;12;;
01/02/1985;13,1;;
01/03/1985;14;;
01/04/1985;14,2;;
01/05/1985;14;;
01/06/1985;13,5;;
01/07/1985;13;;
01/08/1985;12,4;;
01/09/1985;12;;
01/10/1985;11,7;;
01/11/1985;10,7;;
01/12/1985;9,8;;
01/01/1986;9,9;;
01/02/1986;10,5;;
01/03/1986;11,5;;
01/04/1986;11,6;;
01/05/1986;10,9;;
01/06/1986;10,3;;
01/07/1986;9,7;;
01/08/1986;9,7;;
01/09/1986;9,5;;
01/10/1986;9;;
01/11/1986;8,2;;
01/12/1986;7,3;;
01/01/1987;7,3;;
01/02/1987;7,6;;
01/03/1987;8,5;;
01/04/1987;8,9;;
01/05/1987;9,5;;
01/06/1987;9,4;;
01/07/1987;9,4;;
01/08/1987;9,7;;
01/09/1987;10,1;;
01/10/1987;9,8;;
01/11/1987;9,1;;
01/12/1987;8,6;;
01/01/1988;9,4;;
01/02/1988;10,3;;
01/03/1988;11;;
01/04/1988;10,4;;
01/05/1988;10,4;;
01/06/1988;10,1;;
01/07/1988;10;;
01/08/1988;9,4;;
01/09/1988;9,1;;
01/10/1988;9,2;;
01/11/1988;8,9;;
01/12/1988;8,6;;
01/01/1989;8,9;;
01/02/1989;9,7;;
01/03/1989;10,5;;
01/04/1989;10,3;;
01/05/1989;10,1;;
01/06/1989;9,7;;
01/07/1989;9,5;;
01/08/1989;8,4;;
01/09/1989;7,9;;
01/10/1989;7,3;;
01/11/1989;7;;
01/12/1989;6,7;;
01/01/1990;6,9;;
01/02/1990;8,1;;
01/03/1990;9,3;;
01/04/1990;10,6;;
01/05/1990;11,6;;
01/06/1990;12,1;;
01/07/1990;11,9;;
01/08/1990;11,1;;
01/09/1990;10,2;;
01/10/1990;9,6;;
01/11/1990;9,4;;
01/12/1990;9,4;;
01/01/1991;9,9;;
01/02/1991;11,1;;
01/03/1991;12,3;;
01/04/1991;13,1;;
01/05/1991;13,3;;
01/06/1991;13;;
01/07/1991;12,5;;
