Date;3695 - Exchange rate - Free - United States dollar (purchase) - end of period - 3695 - c.m.u./US$
01/1953;18.3800
02/1953;36.5000
03/1953;41.0000
04/1953;39.0000
05/1953;43.0000
06/1953;43.7000
07/1953;39.9000
08/1953;37.5000
09/1953;37.1000
10/1953;37.1000
11/1953;51.0000
12/1953;54.5000
01/1954;53.0000
02/1954;58.5000
03/1954;56.6000
04/1954;50.5000
05/1954;55.0000
06/1954;56.0000
07/1954;58.5000
08/1954;59.8000
09/1954;61.8000
10/1954;64.0000
11/1954;69.5000
12/1954;72.0000
01/1955;70.0000
02/1955;71.0000
03/1955;73.5000
04/1955;74.0000
05/1955;74.0000
06/1955;73.0000
07/1955;69.5000
08/1955;68.5000
09/1955;65.0000
10/1955;63.0000
11/1955;63.5000
12/1955;64.5000
01/1956;67.0000
02/1956;66.5000
03/1956;68.0000
04/1956;70.0000
05/1956;76.0000
06/1956;76.0000
07/1956;70.0000
08/1956;70.0000
09/1956;65.0000
10/1956;65.0000
11/1956;63.0000
12/1956;63.5000
01/1957;63.5000
02/1957;64.3000
03/1957;63.3000
04/1957;66.5000
05/1957;71.5000
06/1957;69.0000
07/1957;72.0000
08/1957;77.3000
09/1957;80.3000
10/1957;84.3000
11/1957;91.3000
12/1957;88.8000
01/1958;96.3000
02/1958;96.8000
03/1958;106.3000
04/1958;120.3000
05/1958;122.5000
06/1958;130.3000
07/1958;132.3000
08/1958;152.3000
09/1958;154.3000
10/1958;139.8000
11/1958;135.3000
12/1958;137.8000
01/1959;141.3000
02/1959;136.8000
03/1959;137.3000
04/1959;134.8000
05/1959;129.3000
06/1959;143.0000
07/1959;150.0000
08/1959;150.0000
09/1959;150.0000
10/1959;160.0000
11/1959;180.0000
12/1959;180.0000
01/1960;183.0000
02/1960;182.0000
03/1960;182.0000
04/1960;182.0000
05/1960;182.0000
06/1960;182.0000
07/1960;182.0000
08/1960;182.0000
09/1960;182.0000
10/1960;182.0000
11/1960;182.0000
12/1960;190.0000
01/1961;215.0000
02/1961;215.0000
03/1961;266.0000
04/1961;274.0000
05/1961;258.0000
06/1961;256.0000
07/1961;256.0000
08/1961;280.0000
09/1961;292.0000
10/1961;300.0000
11/1961;300.0000
12/1961;300.0000
01/1962;310.0000
02/1962;310.0000
03/1962;310.0000
04/1962;310.0000
05/1962;349.8000
06/1962;355.0000
07/1962;357.0000
08/1962;403.0000
09/1962;460.0000
10/1962;460.0000
11/1962;460.0000
12/1962;460.0000
01/1963;460.0000
02/1963;460.0000
03/1963;460.0000
04/1963;600.0000
05/1963;600.0000
06/1963;600.0000
07/1963;600.0000
08/1963;600.0000
09/1963;600.0000
10/1963;600.0000
11/1963;600.0000
12/1963;600.0000
01/1964;600.0000
02/1964;1,100.0000
03/1964;1,160.0000
04/1964;1,160.0000
05/1964;1,160.0000
06/1964;1,160.0000
07/1964;1,160.0000
08/1964;1,215.0000
09/1964;1,550.0000
10/1964;1,550.0000
11/1964;1,550.0000
12/1964;1,825.0000
01/1965;1,825.0000
02/1965;1,825.0000
03/1965;1,825.0000
04/1965;1,825.0000
05/1965;1,825.0000
06/1965;1,825.0000
07/1965;1,825.0000
08/1965;1,825.0000
09/1965;1,825.0000
10/1965;1,825.0000
11/1965;2,200.0000
12/1965;2,200.0000
01/1966;2,200.0000
02/1966;2,200.0000
03/1966;2,200.0000
04/1966;2,200.0000
05/1966;2,200.0000
06/1966;2,200.0000
07/1966;2,200.0000
08/1966;2,200.0000
09/1966;2,200.0000
10/1966;2,200.0000
11/1966;2,200.0000
12/1966;2,200.0000
01/1967;2,200.0000
02/1967;2.7000
03/1967;2.7000
04/1967;2.7000
05/1967;2.7000
06/1967;2.7000
07/1967;2.7000
08/1967;2.7000
09/1967;2.7000
10/1967;2.7000
11/1967;2.7000
12/1967;2.7000
01/1968;3.2000
02/1968;3.2000
03/1968;3.2000
04/1968;3.2000
05/1968;3.2000
06/1968;3.2000
07/1968;3.2000
08/1968;3.6300
09/1968;3.6800
10/1968;3.6800
11/1968;3.7500
12/1968;3.8100
01/1969;3.8100
02/1969;3.9100
03/1969;3.9800
04/1969;3.9800
05/1969;4.0300
06/1969;4.0300
07/1969;4.0800
08/1969;4.1300
09/1969;4.1300
10/1969;4.1900
11/1969;4.2800
12/1969;4.3300
01/1970;4.3300
02/1970;4.3800
03/1970;4.4600
04/1970;4.4600
05/1970;4.5300
06/1970;4.5300
07/1970;4.6200
08/1970;4.6200
09/1970;4.6900
10/1970;4.6900
11/1970;4.8300
12/1970;4.9200
01/1971;4.9200
02/1971;5.0000
03/1971;5.0800
04/1971;5.0800
05/1971;5.1600
06/1971;5.2500
07/1971;5.2500
08/1971;5.3700
09/1971;5.4700
10/1971;5.4700
11/1971;5.6000
12/1971;5.6000
01/1972;5.7500
02/1972;5.7500
03/1972;5.8100
04/1972;5.8100
05/1972;5.8800
06/1972;5.8800
07/1972;5.9300
08/1972;5.9300
09/1972;5.9900
10/1972;6.0600
11/1972;6.1300
12/1972;6.1800
01/1973;6.1800
02/1973;6.0000
03/1973;6.0000
04/1973;6.0600
05/1973;6.0600
06/1973;6.0600
07/1973;6.0900
08/1973;6.0900
09/1973;6.1200
10/1973;6.1200
11/1973;6.1200
12/1973;6.1800
01/1974;6.1800
02/1974;6.4200
03/1974;6.4200
04/1974;6.3000
05/1974;6.3000
06/1974;6.7800
07/1974;6.8500
08/1974;6.9800
09/1974;7.0900
10/1974;7.1800
11/1974;7.2900
12/1974;7.4000
01/1975;7.5100
02/1975;7.5800
03/1975;7.7000
04/1975;7.8100
05/1975;7.9300
06/1975;8.0200
07/1975;8.0800
08/1975;8.3100
09/1975;8.4700
10/1975;8.6200
11/1975;8.8500
12/1975;9.0200
01/1976;9.2000
02/1976;9.3700
03/1976;9.8900
04/1976;10.3200
05/1976;10.5000
06/1976;10.7300
07/1976;10.8900
08/1976;11.1000
09/1976;11.3000
10/1976;11.7600
11/1976;11.9900
12/1976;12.2800
01/1977;12.5200
02/1977;12.8000
03/1977;12.9800
04/1977;13.3000
05/1977;13.9300
06/1977;14.2800
07/1977;14.4900
08/1977;14.7400
09/1977;14.9200
10/1977;15.1800
11/1977;15.4400
12/1977;15.9500
01/1978;16.1500
02/1978;16.4000
03/1978;16.8500
04/1978;17.1700
05/1978;17.6000
06/1978;17.9300
07/1978;18.3100
08/1978;18.7500
09/1978;19.1500
10/1978;19.5400
11/1978;19.9500
12/1978;20.7800
01/1979;21.6500
02/1979;22.1100
03/1979;22.9900
04/1979;23.6500
05/1979;25.5200
06/1979;25.5200
07/1979;25.9800
08/1979;27.6400
09/1979;29.6900
10/1979;30.2800
11/1979;31.9000
12/1979;42.3300
01/1980;43.6900
02/1980;45.1110
03/1980;46.6000
04/1980;48.8600
05/1980;50.6100
06/1980;52.1200
07/1980;53.6800
08/1980;55.6500
09/1980;57.3900
10/1980;60.4900
11/1980;62.3200
12/1980;65.1700
01/1981;68.1000
02/1981;71.5100
03/1981;76.1500
04/1981;80.9500
05/1981;85.8000
06/1981;90.9500
07/1981;96.4000
08/1981;102.1800
09/1981;108.1000
10/1981;114.2600
11/1981;120.5400
12/1981;127.1600
01/1982;133.7700
02/1982;140.4500
03/1982;147.4700
04/1982;154.8400
05/1982;163.3500
06/1982;172.3300
07/1982;181.8000
08/1982;192.7100
09/1982;206.2000
10/1982;220.6300
11/1982;236.0700
12/1982;251.4100
01/1983;273.9100
02/1983;379.5400
03/1983;415.4600
04/1983;452.6700
05/1983;491.1500
06/1983;540.2700
07/1983;608.8800
08/1983;668.0000
09/1983;735.0000
10/1983;838.0000
11/1983;909.0000
12/1983;979.0000
01/1984;1,075.0000
02/1984;1,207.0000
03/1984;1,328.0000
04/1984;1,446.0000
05/1984;1,574.0000
06/1984;1,719.0000
07/1984;1,896.0000
08/1984;2,097.0000
09/1984;2,317.0000
10/1984;2,609.0000
11/1984;2,867.0000
12/1984;3,168.0000
01/1985;3,567.0000
02/1985;3,931.0000
03/1985;4,430.0000
04/1985;4,960.0000
05/1985;5,460.0000
06/1985;5,960.0000
07/1985;6,420.0000
08/1985;6,950.0000
09/1985;7,785.0000
10/1985;8,515.0000
11/1985;9,305.0000
12/1985;10,440.0000
01/1986;12,095.0000
