Data;25239 - Índice do Emprego Formal - Índice
01/1992;100,89
02/1992;100,54
03/1992;100,19
04/1992;99,90
05/1992;100,00
06/1992;99,98
07/1992;99,86
08/1992;99,69
09/1992;99,71
10/1992;99,50
11/1992;99,26
12/1992;98,08
01/1993;98,23
02/1993;98,24
03/1993;98,39
04/1993;98,51
05/1993;99,21
06/1993;99,45
07/1993;99,53
08/1993;99,57
09/1993;99,66
10/1993;99,70
11/1993;99,53
12/1993;98,49
01/1994;98,64
02/1994;98,59
03/1994;98,81
04/1994;99,13
05/1994;99,55
06/1994;99,90
07/1994;99,94
08/1994;100,00
09/1994;100,33
10/1994;100,58
11/1994;100,59
12/1994;99,84
01/1995;99,80
02/1995;100,11
03/1995;100,24
04/1995;100,64
05/1995;101,05
06/1995;101,10
07/1995;100,81
08/1995;100,28
09/1995;99,98
10/1995;99,78
11/1995;99,45
12/1995;99,26
01/1996;98,98
02/1996;98,86
03/1996;98,70
04/1996;98,97
05/1996;99,46
06/1996;99,69
07/1996;99,73
08/1996;99,68
09/1996;99,78
10/1996;99,60
11/1996;99,30
12/1996;98,04
01/1997;97,85
02/1997;97,88
03/1997;98,14
04/1997;98,55
05/1997;99,13
06/1997;99,49
07/1997;99,46
08/1997;99,47
09/1997;99,65
10/1997;99,69
11/1997;99,39
12/1997;97,88
01/1998;97,50
02/1998;97,40
03/1998;97,35
04/1998;97,69
05/1998;98,07
06/1998;98,16
07/1998;98,06
08/1998;98,16
09/1998;98,06
10/1998;97,77
11/1998;97,23
12/1998;95,27
01/1999;95,08
02/1999;94,73
03/1999;94,39
04/1999;94,64
05/1999;95,08
06/1999;95,34
07/1999;95,38
08/1999;95,44
09/1999;95,47
10/1999;95,55
11/1999;95,48
12/1999;94,38
01/2000;94,52
02/2000;94,92
03/2000;95,10
04/2000;95,66
05/2000;96,40
06/2000;97,04
07/2000;97,51
08/2000;97,87
09/2000;98,29
10/2000;98,35
11/2000;98,36
12/2000;97,34
01/2001;97,56
02/2001;97,92
03/2001;98,08
04/2001;98,71
05/2001;99,43
06/2001;99,92
07/2001;100,24
08/2001;100,46
09/2001;100,82
10/2001;101,16
11/2001;101,14
12/2001;100,00
01/2002;100,20
02/2002;100,57
03/2002;100,97
04/2002;101,76
05/2002;102,46
