Data,commodity,ibovespa,juros,inflacao,indust
01/2002,60.9,-5.83,1.53,0.52,72.4
02/2002,60.65,10.31,1.25,0.36,69.7
03/2002,59.36,-5.55,1.37,0.6,77.4
04/2002,57.3,-1.28,1.48,0.8,79.6
05/2002,61.16,-1.71,1.41,0.21,80.4
06/2002,68.06,-13.39,1.33,0.42,77.5
07/2002,77.46,-12.36,1.54,1.19,83.3
08/2002,82.06,6.35,1.44,0.65,83.6
09/2002,91.46,-16.95,1.38,0.72,82.1
10/2002,105.84,17.92,1.65,1.31,89.2
11/2002,103.56,3.35,1.54,3.02,83.9
12/2002,106.77,7.23,1.74,2.1,74.6
01/2003,103.33,-2.9,1.97,2.25,74
02/2003,110.95,-6.04,1.83,1.57,71.8
03/2003,102.33,9.66,1.78,1.23,77.4
04/2003,93.36,11.38,1.87,0.97,76.5
05/2003,89.67,6.89,1.97,0.61,79.7
06/2003,86.67,-3.35,1.86,-0.15,76.3
07/2003,88.15,4.62,2.08,0.2,81.3
08/2003,93.32,11.81,1.77,0.34,81.6
09/2003,93.56,5.51,1.68,0.78,85.7
10/2003,97.42,12.32,1.64,0.29,90
11/2003,100.82,12.24,1.34,0.34,84.6
12/2003,103.39,10.17,1.37,0.52,77.9
01/2004,101.33,-1.73,1.27,0.76,76.8
02/2004,104.58,-0.44,1.08,0.61,74
03/2004,108.23,1.78,1.38,0.47,86.9
04/2004,109.1,-11.45,1.18,0.37,82.2
05/2004,117.9,-0.32,1.23,0.51,86.3
06/2004,116.92,8.21,1.23,0.71,86.1
07/2004,109.97,5.62,1.29,0.91,90.1
08/2004,107.86,2.09,1.29,0.69,92.1
09/2004,105.63,1.94,1.25,0.33,92.1
10/2004,106.07,-0.83,1.21,0.44,93.5
11/2004,103.55,9.01,1.25,0.69,91.8
12/2004,101.35,4.25,1.48,0.86,84.7
01/2005,101,-7.05,1.38,0.58,81
02/2005,98.58,15.56,1.22,0.59,76.4
03/2005,108.57,-5.43,1.53,0.61,88
04/2005,102.01,-6.64,1.41,0.87,87
05/2005,95.13,1.47,1.5,0.49,91.1
06/2005,92.78,-0.62,1.59,-0.02,91.4
07/2005,91.46,3.96,1.51,0.25,90.5
08/2005,92.85,7.69,1.66,0.17,95.6
09/2005,92.66,12.62,1.5,0.35,92
10/2005,94.62,-4.4,1.41,0.75,93.7
11/2005,92.4,5.71,1.38,0.55,92.4
12/2005,100,4.82,1.47,0.36,86.6
01/2006,102.49,14.73,1.43,0.59,83.7
02/2006,97.88,0.59,1.15,0.41,80.2
03/2006,94.48,-1.71,1.42,0.43,92.4
04/2006,96.66,6.36,1.08,0.21,85.7
05/2006,101.26,-9.5,1.28,0.1,95.4
06/2006,101.71,0.27,1.18,-0.21,91.1
07/2006,101.96,1.22,1.17,0.19,93.8
08/2006,99.94,-2.28,1.26,0.05,98.6
09/2006,97.63,0.6,1.06,0.21,93.2
10/2006,99.6,7.72,1.09,0.33,97.5
11/2006,104.04,6.8,1.02,0.31,95.9
12/2006,105.06,6.06,0.99,0.48,87
01/2007,102.48,0.38,1.08,0.44,87
02/2007,101.96,-1.68,0.87,0.44,82.6
03/2007,102.19,4.36,1.05,0.37,96.4
04/2007,100.31,6.88,0.94,0.25,90.6
05/2007,98.65,6.77,1.03,0.28,99.9
06/2007,97.6,4.06,0.91,0.28,96.9
07/2007,97.07,-0.39,0.97,0.24,99.8
08/2007,99.74,0.84,0.99,0.47,104.9
09/2007,100.28,10.67,0.8,0.18,98.4
10/2007,98.48,8.02,0.93,0.3,107.8
11/2007,98.41,-3.54,0.84,0.38,102.4
12/2007,100.17,1.4,0.84,0.74,92.6
01/2008,104.42,-6.88,0.93,0.54,94.8
02/2008,110.9,6.72,0.8,0.49,91.1
03/2008,112.95,-3.97,0.84,0.48,97.7
04/2008,112.95,11.32,0.9,0.55,99.2
05/2008,112.52,6.96,0.88,0.79,102.5
